t	1	2	jV0100	
0.515	-0.0941083	-0.0470542	0.141162	
0.516	-0.100362	-0.0501809	0.150543	
0.517	-0.106611	-0.0533056	0.159917	
0.518	-0.112856	-0.0564282	0.169285	
0.519	-0.119097	-0.0595486	0.178646	
0.52	-0.125333	-0.0626666	0.188	
0.521	-0.131564	-0.0657822	0.197347	
0.522	-0.13779	-0.0688951	0.206685	
0.523	-0.144011	-0.0720054	0.216016	
0.524	-0.150226	-0.0751128	0.225338	
0.525	-0.156434	-0.0782172	0.234652	
0.526	-0.162637	-0.0813186	0.243956	
0.527	-0.168833	-0.0844167	0.25325	
0.528	-0.175023	-0.0875115	0.262535	
0.529	-0.181206	-0.0906029	0.271809	
0.53	-0.187381	-0.0936907	0.281072	
0.531	-0.193549	-0.0967747	0.290324	
0.532	-0.19971	-0.099855	0.299565	
0.533	-0.205863	-0.102931	0.308794	
0.534	-0.212007	-0.106004	0.318011	
0.535	-0.218143	-0.109072	0.327215	
0.536	-0.224271	-0.112135	0.336406	
0.537	-0.230389	-0.115195	0.345584	
0.538	-0.236499	-0.118249	0.354748	
0.539	-0.242599	-0.1213	0.363899	
0.54	-0.24869	-0.124345	0.373035	
0.541	-0.254771	-0.127385	0.382156	
0.542	-0.260842	-0.130421	0.391262	
0.543	-0.266902	-0.133451	0.400353	
0.544	-0.272952	-0.136476	0.409428	
0.545	-0.278991	-0.139496	0.418487	
0.546	-0.285019	-0.14251	0.427529	
0.547	-0.291036	-0.145518	0.436554	
0.548	-0.297042	-0.148521	0.445562	
0.549	-0.303035	-0.151518	0.454553	
0.55	-0.309017	-0.154508	0.463525	
0.551	-0.314987	-0.157493	0.47248	
0.552	-0.320944	-0.160472	0.481415	
0.553	-0.326888	-0.163444	0.490332	
0.554	-0.33282	-0.16641	0.499229	
0.555	-0.338738	-0.169369	0.508107	
0.556	-0.344643	-0.172321	0.516964	
0.557	-0.350534	-0.175267	0.525801	
0.558	-0.356412	-0.178206	0.534618	
0.559	-0.362275	-0.181138	0.543413	
0.56	-0.368125	-0.184062	0.552187	
0.561	-0.373959	-0.18698	0.560939	
0.562	-0.379779	-0.18989	0.569669	
0.563	-0.385584	-0.192792	0.578376	
0.564	-0.391374	-0.195687	0.587061	
0.565	-0.397148	-0.198574	0.595722	
0.566	-0.402906	-0.201453	0.60436	
0.567	-0.408649	-0.204325	0.612974	
0.568	-0.414376	-0.207188	0.621563	
0.569	-0.420086	-0.210043	0.630129	
0.57	-0.425779	-0.21289	0.638669	
0.571	-0.431456	-0.215728	0.647184	
0.572	-0.437116	-0.218558	0.655674	
0.573	-0.442758	-0.221379	0.664137	
0.574	-0.448383	-0.224192	0.672575	
0.575	-0.45399	-0.226995	0.680986	
0.576	-0.45958	-0.22979	0.68937	
0.577	-0.465151	-0.232576	0.697727	
0.578	-0.470704	-0.235352	0.706056	
0.579	-0.476238	-0.238119	0.714357	
0.58	-0.481754	-0.240877	0.722631	
0.581	-0.48725	-0.243625	0.730875	
0.582	-0.492727	-0.246364	0.739091	
0.583	-0.498185	-0.249093	0.747278	
0.584	-0.503623	-0.251812	0.755435	
0.585	-0.509041	-0.254521	0.763562	
0.586	-0.51444	-0.25722	0.771659	
0.587	-0.519817	-0.259909	0.779726	
0.588	-0.525175	-0.262587	0.787762	
0.589	-0.530511	-0.265256	0.795767	
0.59	-0.535827	-0.267913	0.80374	
0.591	-0.541121	-0.270561	0.811682	
0.592	-0.546394	-0.273197	0.819592	
0.593	-0.551646	-0.275823	0.827469	
0.594	-0.556876	-0.278438	0.835313	
0.595	-0.562083	-0.281042	0.843125	
0.596	-0.567269	-0.283634	0.850903	
0.597	-0.572432	-0.286216	0.858648	
0.598	-0.577573	-0.288786	0.866359	
0.599	-0.58269	-0.291345	0.874036	
0.6	-0.587785	-0.293893	0.881678	
0.601	-0.592857	-0.296428	0.889285	
0.602	-0.597905	-0.298952	0.896857	
0.603	-0.60293	-0.301465	0.904394	
0.604	-0.60793	-0.303965	0.911895	
0.605	-0.612907	-0.306454	0.919361	
0.606	-0.61786	-0.30893	0.926789	
0.607	-0.622788	-0.311394	0.934182	
0.608	-0.627691	-0.313846	0.941537	
0.609	-0.63257	-0.316285	0.948855	
0.61	-0.637424	-0.318712	0.956136	
0.611	-0.642253	-0.321126	0.963379	
0.612	-0.647056	-0.323528	0.970584	
0.613	-0.651834	-0.325917	0.977751	
0.614	-0.656586	-0.328293	0.984879	
0.615	-0.661312	-0.330656	0.991968	
0.616	-0.666012	-0.333006	0.999018	
0.617	-0.670686	-0.335343	1.00603	
0.618	-0.675333	-0.337666	1.013	
0.619	-0.679953	-0.339977	1.01993	
0.62	-0.684547	-0.342274	1.02682	
0.621	-0.689114	-0.344557	1.03367	
0.622	-0.693653	-0.346827	1.04048	
0.623	-0.698165	-0.349083	1.04725	
0.624	-0.70265	-0.351325	1.05397	
0.625	-0.707107	-0.353553	1.06066	
0.626	-0.711536	-0.355768	1.0673	
0.627	-0.715936	-0.357968	1.0739	
0.628	-0.720309	-0.360155	1.08046	
0.629	-0.724653	-0.362327	1.08698	
0.63	-0.728969	-0.364484	1.09345	
0.631	-0.733255	-0.366628	1.09988	
0.632	-0.737513	-0.368757	1.10627	
